otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title
otu63387	Lopezaria versicolor	244187	271828	-	None	True	original	Lopezaria_versicolor	-
otu63388	Crocynia pyxinoides	250306	2497785	-	None	True	original	Crocynia_pyxinoides	-
otu63397	Mycoblastus sanguinarius	828193	312200	-	None	True	original	Mycoblastus_sanguinarius	-
otu63396	Lecanora hybocarpa	221165	394998	-	None	True	original	Lecanora_hybocarpa	-
otu63393	Flavocetraria nivalis	516187	95627	-	None	True	original	Flavocetraria_nivalis	-
otu63394	Usnea sphacelata	10548	221858	-	None	True	original	Usnea_sphacelata	-
otu63395	Usnea antarctica	510740	281300	-	None	True	original	Usnea_antarctica	-
otu63392	Hypogymnia physodes	583552	87259	-	None	True	original	Hypogymnia_physodes	-
otu63391	Flavoparmelia caperata	733706	172615	-	None	True	original	Flavoparmelia_caperata	-
otu63390	Canoparmelia caroliniana	244188	271829	-	None	True	original	Canoparmelia_caroliniana	-
otu63389	Cladonia caroliniana	677139	174049	-	None	True	original	Cladonia_caroliniana	-
otu63379	Anaptychia palmulata	867791	373581	-	None	True	original	Anaptychia_palmulata	-
otu63380	Heterodermia vulgaris	58492	399107	-	None	True	original	Heterodermia_vulgaris	-
otu63381	Physcia aipolia	216197	50936	-	None	True	original	Physcia_aipolia	-
otu63378	Pyxine subcinerea	111231	264714	-	None	True	original	Pyxine_subcinerea	-
otu63377	Buellia frigida	112135	138010	-	None	True	original	Buellia_frigida	-
otu63383	Megalospora tuberculosa	244189	271826	-	None	True	original	Megalospora_tuberculosa	-
otu63384	Teloschistes exilis	90671	271840	-	None	True	original	Teloschistes_exilis	-
otu63382	Letrouitia domingensis	447042	157776	-	None	True	original	Letrouitia_domingensis	-
otu63437	Dactylospora haliotrepha	819780	561979	-	None	True	original	Dactylospora_haliotrepha_2	-
otu63436	Dactylospora haliotrepha	819780	561979	-	None	True	original	Dactylospora_haliotrepha_1	-
otu63435	Dactylospora mangrovei	1086863	561982	-	None	True	original	Dactylospora_mangrovei	-
otu63460	Caliciopsis orientalis	812159	380014	-	None	True	original	Caliciopsis_orientalis	-
otu63459	Caliciopsis pinea	123355	152644	-	None	True	original	Caliciopsis_pinea	-
otu63468	Penicillium freii	998167	48697	-	None	True	original	Penicillium_freii	-
otu63469	Penicillium javanicum	589692	0	-	None	True	original	Eupenicillium_javanicum	-
otu63470	Penicillium limosum	3755665	0	-	None	True	original	Eupenicillium_limosum	-
otu63471	Hamigera avellanea	405612	0	-	None	True	original	Hamigera_avellanea	-
otu63472	Monascus purpureus	376359	5098	-	None	True	deleted in reconciliation	Monascus_purpureus	-
otu63465	Aspergillus fumigatus	278828	91481	-	None	True	deleted in reconciliation	Aspergillus_fumigatus	-
otu63466	Aspergillus nidulans	392368	0	-	None	True	deleted in reconciliation	Emericella_nidulans	-
otu63467	Aspergillus protuberus	478938	469277	-	None	True	original	Aspergillus_protuberus	-
otu63461	Ajellomyces capsulatus	124563	0	-	None	True	original	Ajellomyces_capsulatum	-
otu63462	Spiromastix warcupii	658627	37235	-	None	True	original	Spiromastix_warcupii	-
otu63463	Coccidioides immitis	838981	5501	-	None	True	original	Coccidioides_immitis	-
otu63464	Arthroderma ciferrii	754344	78590	-	None	True	original	Chrysosporium_georgiae	-
otu63446	Ceramothyrium carniolicum	597882	134355	-	None	True	original	Ceramothyrium_carniolicum	-
otu63448	Glyphium elatum	637304	156302	-	None	True	original	Glyphium_elatum	-
otu63447	Sarcinomyces petricola	158875	206542	-	None	True	original	Sarcinomyces_petricola	-
otu63450	Exophiala salmonis	1051945	43214	-	None	True	original	Exophiala_salmonis	-
otu63451	Exophiala pisciphila	274726	86051	-	None	True	original	Exophiala_pisciphila	-
otu63452	Capronia munkii	56765	85185	-	None	True	original	Capronia_munkii	-
otu63453	Exophiala dermatitidis	129117	5970	-	None	True	original	Exophiala_dermatitidis	-
otu63454	Ramichloridium anceps	888563	0	-	None	True	original	Ramichloridium_anceps	-
otu63458	Dactylospora imperfecta	1086861	561980	-	None	True	original	Dactylospora_imperfecta	-
otu63457	Phialophora verrucosa	376062	39412	-	None	True	original	Phialophora_verrucosa	-
otu63456	Dactylospora lobariella	1086860	561981	-	None	True	original	Dactylospora_lobariella	-
otu63455	Capronia pilosella	666121	45095	-	None	True	original	Capronia_pilosella	-
otu63449	Cyphellophora laciniata	1024674	241713	-	None	True	original	Cyphellophora_laciniata	-
otu63445	Staurothele frustulenta	940868	396381	-	None	True	original	Staurothele_frustulenta	-
otu63444	Agonimia	741451	232781	-	None	True	original	Agonimia_sp	-
otu63442	Dermatocarpon miniatum	440205	172328	-	None	True	original	Dermatocarpon_miniatum	-
otu63443	Endocarpon pallidulum	940869	396380	-	None	True	original	Endocarpon_pallidulum	-
otu63441	Pyrenula aspistea	704493	427130	-	None	True	original	Pyrenula_aspistea	-
otu63440	Pyrgillus javanicus	67600	279161	-	None	True	original	Pyrgillus_javanicus	-
otu63439	Granulopyrenis seawardii	905566	286429	-	None	True	original	Granulopyrenis_seawardii	-
otu63438	Pyrenula pseudobufonia	767394	271832	-	None	True	original	Pyrenula_pseudobufonia	-
otu63474	Phaeocalicium polyporaeum	5310912	315235	-	None	True	original	Mycocalicium_polyporaeum	-
otu63473	Sphinctrina turbinata	344366	57085	-	None	True	original	Sphinctrina_turbinata	-
otu63280	Myriangium duriaei	870746	147570	-	None	True	original	Myriangium_duriaei	-
otu63283	Elsinoe phaseoli	3717454	390893	-	None	True	original	Elsinoe_phaseoli	-
otu63282	Elsinoe centrolobi	1027807	1978791	-	None	True	original	Elsinoe_centrolobi	-
otu63281	Elsinoe veneta	3717469	45306	-	None	True	original	Elsinoe_veneta	-
otu63289	Dothidea insculpta	666122	45097	-	None	True	original	Dothidea_insculpta	-
otu63290	Dothidea sambuci	95390	162394	-	None	True	original	Dothidea_sambuci	-
otu63291	Stylodothis puccinioides	208368	134360	-	None	True	original	Stylodothis_puccinioides	-
otu63292	Dothidea hippophaes	3717635	0	-	None	True	original	Dothidea_hippophaes	-
otu63288	Dothiora cannabinae	162095	93490	-	None	True	original	Dothiora_cannabinae	-
otu63287	Sydowia polyspora	530860	64499	-	None	True	original	Sydowia_polyspora	-
otu63286	Delphinella strobiligena	295794	147560	-	None	True	original	Delphinella_strobiligena	-
otu63285	Columnosphaeria fagi	1027801	390890	-	None	True	original	Columnosphaeria_fagi_2	-
otu63284	Columnosphaeria fagi	1027801	390890	-	None	True	original	Columnosphaeria_fagi_1	-
otu63302	Capnodium citri	736945	93487	-	None	True	original	Capnodium_salicinum	-
otu63301	Scorias spongiosa	920436	62139	-	None	True	original	Scorias_spongiosa	-
